QUESTION,BT LEVEL
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",Comprehension
"Explain the concept of price leadership observed under the condition of oligopoly, by using graphs. ",Comprehension
Define profit. Briefly explain how accounting profit is different from economic profit.,Comprehension
Describe the assumptions of monopolistic competitive market.,Comprehension
"Explain the meaning of the law of diminishing marginal returns. Briefly describe the relationship between total product (TP) and marginal product (MP), marginal product (MP) and average product (AP).",Comprehension
Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,Evaluation
"Using Marginal approach, explain and identify how many unit of CD players should the firm producer per day if its goal is to maximize its profit.",Application
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluation
Identify whether the firm is in the short-run or long-run  equilibrium. Explain.,Comprehension
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,Comprehension
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,Application
Identify THREE (3) types of imperfectly competitive firms and construct THREE (3) important characteristics of these imperfectly competitive firms.,Application
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,Comprehension
Describe Prisoner Dilemma in the context of game theory.,Knowledge
Highlight the differences between an equilibrium in dominant strategy as compared to Nash equilibrium.,Comprehension
State which market structure adopts this practice. List and briefly explain what are the conditions needed for this practice to be successful.,Comprehension
Explain types of price discriminations.,Comprehension
"By using appropriate diagrams, explain how a decreasing cost industry affects the long-run supply curve in a perfectly competitive market.",Comprehension
"Briefly explain the income-consumption curve. With the aid of diagrams, derive income-consumption curve and Engel curve if there is an increase in income given that the good is an inferior good. Explain your answer by showing at least two bundles of goods in the diagrams.",Comprehension
Briefly explain the characteristics of monopolistic market structure.,Comprehension
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",Comprehension
Explain the marginal cost relationship with average variable cost (AVC) and average total cost (ATC). Support your answer by using an appropriate diagram. ,Comprehension
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",Application
"Starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram(s). ",Comprehension
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,Comprehension
Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,Comprehension
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",Analysis
Determine the equilibrium price and quantity.,Application
Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,Application
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",Application
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,Comprehension
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluation
Describe the TWO (2) key differences between perfect competition and monopolistic competition. ,Comprehension
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,Application
"“As additional units of a variable input are added to a fixed input, the marginal product of the variable input may at the beginning rises, subsequently falls and becomes negative in the short-run"". Explain this statement by using appropriate diagrams. ",Comprehension
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",Evaluation
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",Comprehension
Explain the price discriminations that associated with monopoly.,Comprehension
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",Analysis
Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost. ,Analysis
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,Comprehension
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Comprehension
Compute the value of the government multiplier and tax multiplier in an open economy. ,Application
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",Application
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,Analysis
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,Application
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,Comprehension
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",Application
Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,Analysis
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,Comprehension
Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money. ,Analysis
Calculate the equilibrium level of income for Cambodia. ,Application
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,Application
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,Application
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,Application
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram. ,Comprehension
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,Comprehension
"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",Synthesis
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,Comprehension
List and explain the reason why the aggregate demand curve is downward slopping.,Comprehension
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Synthesis
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analysis
Describe price feedback effect by using relevant example.,Comprehension
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,Knowledge
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,Application
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",Comprehension
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Comprehension
"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",Evaluation
Thailand currently experiences a 17% unemployment rate and the investors in the country are sensitive towards changes in the interest rate. Explain to your friend the policy to be taken by Central Bank of Thailand to achieve 3% of unemployment rate by using appropriate diagram(s). ,Comprehension
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",Synthesis
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth. ,Comprehension
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia. ,Comprehension
Explain THREE (3) reasons why AD curve is downward sloping.,Comprehension
Calculate the equilibrium level of output for four sectors economy with taxes. ,Application
Calculate the balance of trade when the economy is at equilibrium. ,Application
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Application
Describe the economic growth and FOUR (4) sources of economic growth. ,Knowledge
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,Application
Calculate the equilibrium level of income for this economy. ,Application
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,Application
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,Application
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,Application
"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",Comprehension
Define economic growth. List and explain how the public policies can promote economic growth. ,Comprehension
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Comprehension
"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",Analysis
Explain how human capital can lead to economic growth. ,Comprehension
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,Comprehension
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,Application
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,Comprehension
Discuss FOUR (4) factors affecting exchange rate in the long run.,Comprehension
Define Bank Capital and elaborate the functions of Bank Capital.,Comprehension
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",Application
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Knowledge
Define and explain the THREE (3) steps of bringing a new security issue in primary market. ,Comprehension
List FIVE (5) differences between forward and future market. ,Knowledge
List and briefly describe FOUR (4) types of secondary equity markets. ,Knowledge
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Comprehension
Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,Comprehension
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit. ,Comprehension
Give THREE (3) examples of common uses of standby letter of credit. ,Comprehension
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,Comprehension
List FIVE (5) major business activities of investment banks. ,Knowledge
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",Knowledge
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,Analysis
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,Comprehension
